"","Open","High","Low","Close","Volume"
"287",366.923065,372.692322,363.230774,363.846161,2404675
"288",364.230774,365.384613,354.307678,362.307678,2977169
"289",358.076935,361.538452,346.307678,355.230774,3037905
"290",361.538452,369.307678,355.384613,369.076935,2739568
"291",365.230774,369.230774,361.538452,369.230774,2935257
"292",369.230774,371.076935,350.769226,357.692322,3451942
"293",350,354.384613,345.461548,353.153839,3114514
"294",348.846161,351.230774,342.461548,342.846161,2857543
"295",344.230774,348.923065,343.076935,346.769226,2167347
"296",355.769226,358.461548,348.615387,349.384613,2039908
"297",349.769226,355.846161,349.769226,353.692322,1805635
"298",355,356.615387,346.153839,352.846161,2154373
"299",348.076935,349,334.230774,337,2585869
"300",330.769226,333.076935,296.923065,304.615387,5942079
"301",319.230774,326.923065,313.461548,325.615387,5582161
"302",313.461548,325,308.461548,315.615387,4606823
"303",319.230774,321.923065,313.076935,316,3230201
"304",310.769226,321.153839,308.461548,312.307678,5830630
"305",313.076935,320.153839,308.846161,316.153839,2708134
"306",319.230774,323.846161,307.692322,308.076935,2902172
"307",308.076935,312.307678,299,300,3489304
"308",298.076935,298.538452,280.153839,290,7272382
"309",298.076935,307.615387,293.461548,307.615387,5945758
"310",311.538452,315.384613,308.076935,309.461548,4048707
"311",313.461548,324.923065,311.923065,322.384613,4751799
"312",317.307678,320,313.846161,319.615387,3492307
"313",317.692322,319.076935,313.076935,318.461548,3505411
"314",321.153839,322.461548,317.076935,322,3825653
"315",319.384613,328.076935,314.461548,321.538452,3152292
"316",319.615387,319.923065,302,305.230774,3067909
"317",304.230774,314.615387,300.307678,304.615387,3488069
"318",315.384613,325,312.307678,323.846161,3093311
"319",319.615387,320.769226,310.384613,316.692322,3204916
"320",318.769226,326.153839,317.076935,323.076935,2311569
"321",328.846161,350.230774,327.692322,337.153839,3394443
"322",341.538452,342.307678,328.846161,332.846161,2619227
"323",335,343.846161,332.461548,343.846161,2244489
"324",342.538452,344.230774,337.769226,343.461548,1836926
"325",339.230774,349.923065,338.384613,349.692322,2665962
"326",352.923065,368.923065,350.153839,368.384613,4737135
"327",365.384613,373.461548,364.076935,373.153839,2868060
"328",373.153839,373.153839,365.384613,370,3025230
"329",367.307678,367.384613,360.615387,363.076935,2107547
"330",361.538452,367.692322,353,353.769226,2419885
"331",359.230774,372.923065,356.923065,367.769226,2321514
"332",376.538452,379.923065,373,379.230774,2735759
"333",379.230774,384.230774,371.461548,384.230774,2038569
"334",384.538452,384.692322,369.307678,373.307678,2372370
"335",369.615387,376.538452,367.692322,376.230774,1698762
"336",377.153839,380.307678,370.153839,377.692322,2355548
"337",377.692322,377.769226,369.307678,373.076935,2400775
"338",366.153839,384.461548,365.461548,384.076935,2380651
"339",384.076935,384.615387,380.615387,384.307678,1914887
"340",384.307678,384.615387,374.692322,380.615387,1967641
"341",376.923065,387.692322,375.076935,380.230774,3002896
"342",385.769226,386.153839,380.076935,383.307678,1763827
"343",383.384613,384.615387,373.153839,377,1543542
"344",377,384.538452,375.307678,382.538452,1426386
"345",382.538452,387.384613,379.230774,385.769226,2318472
"346",384.538452,401.923065,381.923065,401.615387,3182478
"347",400,404.846161,397.692322,400.846161,2529072
"348",400.846161,407.615387,399.538452,407.615387,2249260
"349",407.615387,411.923065,405.384613,410.769226,2371798
"350",408.846161,409.923065,397.692322,405.230774,2259257
"351",403.461548,406.384613,393.769226,395,2079870
"352",394.230774,399.461548,390.384613,395.384613,1699698
"353",393.846161,393.846161,381.153839,384.230774,2032758
"354",387.615387,388.846161,381.923065,382.076935,1692288
"355",382.076935,385,376.923065,377.076935,2027922
"356",378.076935,381.923065,375,376.923065,1740388
"357",376.846161,380.076935,369.230774,376.923065,1749722
"358",377.692322,381.692322,376.230774,380.384613,1794091
"359",378.461548,379.615387,374,378.307678,1980264
"360",376.923065,379.153839,372.384613,375,1822301
"361",375,376.769226,370.538452,376.230774,1449318
"362",375.692322,375.692322,367.615387,370.307678,2184754
"363",368.076935,376.538452,363.230774,364.615387,2324335
"364",364.615387,379,355.846161,375.153839,4884464
"365",370,379.153839,366.923065,368.076935,4303676
"366",375.153839,386.230774,368.076935,375.846161,7816653
"367",371.538452,379.615387,369.230774,375.461548,5688397
"368",376.923065,382.461548,373.384613,376.923065,2613390
"369",383.076935,384.461548,375,375.923065,2936466
"370",374.615387,391.153839,373.615387,390.538452,3900338
"371",387.692322,403.230774,387.538452,394.230774,4156009
