"","Open","High","Low","Close","Volume"
"2000-01-03",392.307678,394.070526,382.532043,384.615387,2869074
"2000-01-04",377.564117,379.487183,369.230774,369.230774,2875782
"2000-01-05",368.589752,376.923065,365.544861,368.589752,3548064
"2000-01-06",366.987183,376.762817,365.705139,373.517639,2583516
"2000-01-07",379.487183,389.423065,376.923065,387.980774,2618382
"2000-01-10",391.506409,395.032043,387.5,387.820526,1979445
"2000-01-11",387.179474,391.506409,386.217957,388.461548,1965990
"2000-01-12",387.339752,392.94873,386.057678,389.743591,2384499
"2000-01-13",392.628204,397.275635,392.307678,394.230774,1943955
"2000-01-14",393.269226,396.474365,383.493591,387.179474,2402439
"2000-01-18",383.653839,383.653839,376.282043,379.487183,2378571
"2000-01-19",375.641022,387.019226,375,381.330139,1930461
"2000-01-20",382.211548,383.974365,365.705139,374.19873,3998670
"2000-01-21",379.326935,380.128204,369.070526,369.55127,3120702
"2000-01-24",372.596161,374.19873,349.839752,354.166656,3525093
"2000-01-25",354.006409,359.935883,351.282043,355.128204,3300375
"2000-01-26",360.256409,364.583344,356.089752,362.660248,2061384
"2000-01-27",362.980774,363.461548,351.442322,363.461548,2501655
"2000-01-28",359.775635,360.256409,342.628204,343.589752,3880071
"2000-01-31",343.589752,348.557678,341.185883,343.589752,2831751
"2000-02-01",344.230774,351.282043,343.589752,348.717957,3554070
"2000-02-02",351.60257,352.884613,343.75,343.75,2836626
"2000-02-03",348.557678,358.493591,346.794861,357.05127,2630160
"2000-02-04",361.538452,366.987183,360.256409,362.980774,2361723
"2000-02-07",363.30127,363.461548,348.39743,350,2377050
"2000-02-08",350.160248,354.967957,350,351.442322,2430363
"2000-02-09",351.282043,353.044861,343.75,343.75,2083107
"2000-02-10",345.032043,351.121796,341.346161,347.275635,2491788
"2000-02-11",346.314117,352.083344,342.467957,342.94873,2671812
"2000-02-14",342.94873,348.557678,342.467957,344.55127,1890447
"2000-02-15",343.589752,356.410248,343.429474,352.564117,2447055
"2000-02-16",350.320526,351.121796,344.55127,347.836548,1889004
"2000-02-17",345.833344,347.756409,333.333344,335.89743,3759483
"2000-02-18",335.89743,338.30127,320.35257,320.833344,4592562
"2000-02-22",323.717957,333.333344,320.673065,332.371796,3540030
"2000-02-23",333.333344,340.865387,329.166656,334.615387,2854293
"2000-02-24",334.134613,340.865387,323.237183,335.89743,3590418
"2000-02-25",332.05127,335.737183,322.275635,323.39743,3467022
"2000-02-28",323.076935,339.10257,323.076935,331.891022,3515577
"2000-02-29",334.935883,343.589752,333.653839,339.423065,2934750
"2000-03-01",342.307678,343.269226,335.256409,336.858978,3469557
"2000-03-02",336.858978,349.038452,335.576935,346.794861,2585037
"2000-03-03",351.923065,360.256409,351.442322,357.371796,3089307
"2000-03-06",357.692322,357.692322,345.192322,352.403839,2404818
"2000-03-07",352.243591,352.243591,332.371796,333.173065,3851835
"2000-03-08",333.974365,339.583344,330.929474,334.134613,3108963
"2000-03-09",334.134613,338.461548,326.121796,330.769226,2457663
"2000-03-10",335.576935,343.75,333.333344,337.660248,2690961
"2000-03-13",330.769226,334.615387,327.243591,331.891022,2503917
"2000-03-14",332.371796,332.692322,325.160248,325.641022,2479152
"2000-03-15",325.320526,345.35257,323.717957,342.467957,3368430
"2000-03-16",342.788452,357.532043,342.307678,356.410248,3900624
"2000-03-17",354.166656,362.660248,351.762817,358.653839,4142190
"2000-03-20",358.653839,363.461548,352.884613,361.378204,2027532
"2000-03-21",355.769226,388.30127,354.006409,385.89743,4828746
"2000-03-22",385.89743,389.583344,381.089752,386.858978,2822508
"2000-03-23",388.461548,410.256409,387.019226,410.256409,4071756
"2000-03-24",404.166656,409.615387,399.839752,407.85257,2999997
"2000-03-27",404.487183,407.05127,400.641022,404.967957,2132988
"2000-03-28",401.923065,406.730774,400,400,2835573
"2000-03-29",403.525635,422.756409,403.525635,417.94873,5087043
"2000-03-30",415.384613,416.666656,404.006409,407.05127,3245697
"2000-03-31",408.333344,409.935883,396.794861,399.038452,3046056
"2000-04-03",398.076935,412.820526,397.435883,412.820526,2493699
"2000-04-04",406.570526,407.371796,377.243591,394.871796,4293900
"2000-04-05",390.064117,397.435883,386.378204,393.108978,2784444
"2000-04-06",395.35257,404.326935,395.032043,402.243591,1792869
"2000-04-07",404.166656,409.775635,400.480774,407.211548,1732458
"2000-04-10",408.653839,412.820526,404.807678,408.814117,1850472
"2000-04-11",405.929474,420.192322,404.166656,414.423065,2730312
"2000-04-12",416.987183,418.589752,400,401.923065,2527590
"2000-04-13",403.525635,403.685883,384.615387,385.89743,3314610
"2000-04-14",379.487183,384.935883,366.826935,373.717957,4113915
"2000-04-17",370.192322,392.94873,368.910248,389.743591,4153695
"2000-04-18",391.826935,404.967957,389.583344,401.282043,3306927
"2000-04-19",400.160248,402.083344,395.192322,398.717957,1839552
"2000-04-20",400.160248,406.410248,398.717957,406.410248,2217384
"2000-04-24",402.564117,420.35257,400.80127,415.544861,3121911
"2000-04-25",416.025635,426.442322,412.5,425.641022,2971098
"2000-04-26",425.961548,430.608978,413.621796,418.589752,2773329
"2000-04-27",411.538452,415.224365,405.608978,414.10257,2629536
"2000-04-28",413.782043,415.384613,401.442322,403.205139,1837407
"2000-05-01",407.692322,415.384613,404.487183,408.653839,1623258
"2000-05-02",407.692322,414.903839,405.608978,412.980774,1654263
"2000-05-03",408.974365,410.256409,396.314117,400.160248,2157324
"2000-05-04",403.685883,403.846161,391.666656,394.871796,2003430
"2000-05-05",394.871796,410.256409,393.589752,405.128204,2689167
"2000-05-08",400.961548,406.730774,397.115387,403.365387,1517945
"2000-05-09",402.884613,405.288452,391.346161,400.961548,1747122
"2000-05-10",396.153839,400.480774,385.096161,389.423065,1957722
"2000-05-11",396.153839,402.884613,390.384613,391.826935,1746849
"2000-05-12",390.865387,404.807678,389.903839,401.923065,1392794
"2000-05-15",402.403839,418.75,401.923065,415.384613,1762319
"2000-05-16",421.634613,424.519226,415.384613,417.307678,2201147
"2000-05-17",413.461548,418.269226,408.653839,412.5,1468337
"2000-05-18",411.538452,418.269226,406.730774,408.653839,1672697
"2000-05-19",400.961548,405.288452,392.307678,399.038452,1676090
"2000-05-22",399.038452,399.038452,375,384.615387,2178098
"2000-05-23",378.365387,384.615387,376.442322,384.615387,1571960
"2000-05-24",376.923065,394.230774,376.923065,390.384613,1942538
"2000-05-25",390.384613,398.557678,382.692322,390.384613,1487005
"2000-05-26",387.980774,391.826935,379.326935,381.25,1152619
"2000-05-30",383.173065,396.153839,379.807678,394.230774,1682915
"2000-05-31",398.076935,410.096161,396.153839,404.807678,1880398
"2000-06-01",400.480774,410.576935,390.384613,402.884613,1666288
"2000-06-02",410.096161,415.384613,398.076935,405.769226,1561911
"2000-06-05",400,401.923065,392.788452,396.634613,1246999
"2000-06-06",396.153839,398.557678,388.942322,393.75,1035424
"2000-06-07",393.269226,403.365387,392.307678,395.192322,1296958
"2000-06-08",396.153839,397.115387,388.461548,391.346161,1129934
"2000-06-09",392.788452,394.230774,378.846161,383.653839,1425164
"2000-06-12",384.615387,385.576935,372.596161,383.653839,1592006
"2000-06-13",384.615387,396.634613,382.692322,393.75,1742832
"2000-06-14",394.230774,398.557678,387.019226,392.307678,1339013
"2000-06-15",388.461548,400,384.615387,399.038452,1557959
"2000-06-16",400,401.442322,392.668274,393.269226,2469363
"2000-06-19",390.865387,398.076935,384.615387,386.538452,1274962
"2000-06-20",399.519226,399.519226,385.576935,392.307678,1451008
"2000-06-21",385.096161,387.5,378.365387,380.288452,1799876
"2000-06-22",378.365387,384.615387,368.75,375,2040246
"2000-06-23",374.519226,383.653839,373.557678,383.653839,1325441
"2000-06-26",379.807678,385.096161,377.403839,384.134613,1183429
"2000-06-27",384.615387,387.019226,377.403839,378.846161,1275703
"2000-06-28",382.692322,390.865387,381.25,388.822113,1722084
"2000-06-29",388.461548,388.461548,379.326935,382.692322,1676090
"2000-06-30",378.846161,408.533661,377.403839,407.692322,2479919
"2000-07-03",403.846161,403.846161,395.192322,400,858598
"2000-07-05",401.923065,401.923065,380.769226,384.134613,1762540
"2000-07-06",385.096161,392.307678,383.173065,386.057678,1250145
"2000-07-07",390.384613,396.153839,387.019226,394.711548,1291914
"2000-07-10",394.711548,404.807678,393.269226,403.365387,1592071
"2000-07-11",402.403839,410.576935,400.480774,401.923065,1678638
"2000-07-12",414.423065,414.423065,401.923065,413.461548,1401803
"2000-07-13",409.615387,415.384613,399.519226,403.846161,2093065
"2000-07-14",402.403839,403.846161,396.153839,396.153839,1446107
"2000-07-17",396.634613,418.75,396.634613,412.980774,2388048
"2000-07-18",412.5,413.461548,401.923065,401.923065,1558375
"2000-07-19",407.211548,410.096161,404.326935,405.769226,1239069
"2000-07-20",409.134613,421.153839,406.25,417.788452,1458665
"2000-07-21",420.192322,421.153839,412.5,416.346161,1692561
"2000-07-24",416.826935,420.192322,412.5,415.384613,1227200
"2000-07-25",415.384613,416.826935,411.538452,412.019226,1100814
"2000-07-26",414.903839,414.903839,400.961548,400.961548,2179489
"2000-07-27",404.807678,408.173065,401.923065,403.846161,1792258
"2000-07-28",403.846161,404.807678,387.5,391.826935,1742871
"2000-07-31",397.115387,406.730774,395.673065,397.596161,2235246
"2000-08-01",399.519226,406.730774,398.557678,405.769226,1690377
"2000-08-02",403.365387,406.25,396.153839,400,2007941
"2000-08-03",414.423065,414.423065,399.038452,406.730774,1681602
"2000-08-04",399.038452,411.538452,393.75,410.576935,1181505
"2000-08-07",400.961548,412.5,400.961548,404.807678,1004861
"2000-08-08",408.173065,413.942322,400,413.461548,1145066
"2000-08-09",414.423065,432.211548,412.5,430.288452,2786901
"2000-08-10",429.807678,439.903839,426.923065,438.461548,2371421
"2000-08-11",431.730774,441.346161,428.846161,435.096161,1574443
"2000-08-14",433.653839,439.903839,429.326935,438.461548,1013350
"2000-08-15",436.538452,441.346161,432.211548,440.384613,1402986
"2000-08-16",440.384613,440.384613,432.211548,437.019226,968721
"2000-08-17",433.173065,440.384613,430.769226,436.057678,1342900
"2000-08-18",432.211548,434.615387,428.846161,432.211548,1081574
"2000-08-21",436.057678,438.942322,431.730774,435.096161,1015846
"2000-08-22",435.576935,437.980774,431.25,432.692322,1051375
"2000-08-23",432.692322,446.634613,431.730774,445.673065,1470664
"2000-08-24",446.634613,458.173065,444.230774,453.365387,1557569
"2000-08-25",454.326935,458.173065,452.884613,455.769226,1052792
"2000-08-28",457.692322,465.384613,457.211548,461.538452,1632280
"2000-08-29",458.173065,461.057678,455.288452,460.576935,1069991
"2000-08-30",454.807678,456.25,439.423065,442.307678,1362712
"2000-08-31",440.384613,456.25,439.903839,450.961548,1547078
"2000-09-01",455.769226,459.134613,444.711548,450,1006330
"2000-09-05",449.519226,453.365387,444.711548,444.711548,1210066
"2000-09-06",453.365387,455.769226,450,453.846161,1899235
"2000-09-07",452.884613,455.288452,447.596161,453.846161,1044095
"2000-09-08",452.403839,461.538452,448.076935,460.576935,1414322
"2000-09-11",457.692322,462.019226,451.442322,459.134613,1531075
"2000-09-12",457.692322,459.615387,453.365387,454.326935,1323400
"2000-09-13",452.403839,458.653839,450.480774,454.326935,988624
"2000-09-14",455.288452,456.730774,448.557678,453.846161,1030224
"2000-09-15",450,450.961548,433.653839,436.538452,2631746
"2000-09-18",436.057678,449.038452,435.576935,442.307678,1666769
